title,year,doi,source_journal,src_file,triage,verdict,model,raw_response
"The embrace of border security: Maritime jurisdiction, national sovereignty, and the geopolitics of operation sovereign borders",2015,10.1080/14650045.2015.1004399,Geopolitics,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
The community settlement: a neo-rural territorial tool,2021,10.1080/02665433.2020.1728569,Planning Perspectives,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
The geopolitics of inner space in contemporary British fiction,2013,10.1080/0950236X.2012.751444,Textual Practice,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
"""Walls turned sideways are bridges"": Carceral scripts and the transformation of the prison space",2014,,ACME,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
"Border Regimes, the Circulation of Violence and the Neo-authoritarian Turn",2012,10.1002/9781118255223.ch7,A Companion to Border Studies,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,triage_no_abstract,Exclude,triage,
Designing in Real-Time: An Introduction to Weapons Design in the Settler-Colonial Present of Palestine,2018,10.1080/17547075.2018.1430992,Design and Culture,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
New Jerusalem,2013,,New Left Review,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,triage_no_abstract,Exclude,triage,
"Conflict's Tools. Borders, Boundaries and Mobility in Jerusalem's Spatial Structures",2013,10.1080/17450101.2012.750040,Mobilities,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude.
When the City Itself Becomes a Technology of War,2010,10.1177/0263276410380938,"Theory, Culture & Society",scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Include,deepseek/deepseek-v4-flash,Include
"""we are prisoners, not inmates"": Prison letters as liminal counter-carceral spaces",2021,10.5194/gh-76-289-2021,Geographica Helvetica,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
Interventions in urban geopolitics,2017,10.1016/j.polgeo.2017.04.004,Political Geography,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,triage_no_abstract,Exclude,triage,
Spatial regimes of power: Combined municipal policing in the Arab City of Nazareth,2016,10.1093/ips/olw008,International Political Sociology,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
Assembling the fabric of life: When settler colonialism becomes development,2016,10.1525/jps.2016.45.4.64,Journal of Palestine Studies,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
Problematising UN-local Civil Society Engagement in Peacebuilding: Towards Non-modern Epistemes Through Relationality,2019,10.1080/17502977.2019.1580129,Journal of Intervention and Statebuilding,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
Accumulating insecurity and manufacturing risk along the energy frontier,2016,10.1108/S0161-723020160000031012,Research in Political Economy,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
On the politics of our humanitarian present,2013,10.1068/d3104rev,Environment and Planning D: Society and Space,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,triage_no_abstract,Exclude,triage,
Some sketches on vertical geographies,2018,10.5749/j.ctt1zctt3b.9,Superhumanity: Design of the Self,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,triage_no_abstract,Exclude,triage,
Bridging the divide: Middle eastern walls and fences and the spatial governance of problem populations,2015,10.1080/14650045.2015.1005287,Geopolitics,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
Microtopias: The post-apocalyptic communities of Jim Crace's the Pesthouse,2009,10.1080/09502360903169144,Textual Practice,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
Laboratories of war: Surveillance and US-Israeli collboration in war and security,2010,10.4324/9780203845967,"Surveillance and Control in Israel/Palestine: Population, Territory and Power",scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,triage_no_abstract,Exclude,triage,
In the shadow of the 1967 war: Israel and the palestinians,2017,10.1080/13530194.2017.1360010,British Journal of Middle Eastern Studies,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
"Unsettling Start-Up Ecosystems: Geographies, Mobilities, and Transnational Literacies in the Palestinian Start-Up Ecosystem",2021,10.1177/1050651920979997,Journal of Business and Technical Communication,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
"Police, Bailiffs, and Hired Hands: Researching the Distribution and Dissolution of Eviction Enforcement",2020,10.1007/978-3-030-47178-1_34,The Handbook of Displacement,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
From securitization to genocide,2025,10.1080/03017605.2025.2498807,Critique (United Kingdom),scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
"A tale of two gulfs: Life, death, and dispossession along two oil frontiers",2012,10.1353/aq.2012.0039,American Quarterly,scopus_export_Jul_20_2026_551bfc98_e0bc_4783_a645_27851b43b0---95fd30ab-0824-4451-bb32-34cecd6a5799.ris,screened,Exclude,deepseek/deepseek-v4-flash,Exclude
